idfiltro,Codusu,verfiltro,orden
1697,0,0,40
1698,0,0,7
1699,0,0,42
1700,0,0,28
1701,0,0,8
1702,0,0,9
1703,0,0,12
1704,0,0,19
1705,0,0,54
1706,0,0,48
1707,0,0,80
1708,0,0,76
1709,0,0,75
1710,0,0,17
1711,0,0,18
1712,0,0,19
1713,0,0,35
1714,0,0,46
1715,0,0,45
1716,0,0,83
1717,0,0,48
1718,0,0,25
1719,0,0,26
1720,0,0,27
1721,0,0,28
1722,0,0,29
1723,0,1,5
1724,0,0,28
1725,0,0,40
1726,0,0,8
1727,0,0,9
1728,0,0,11
1729,0,0,12
1730,0,0,13
1731,0,0,8
1732,0,0,9
1733,0,0,20
1734,0,0,22
1735,0,0,32
1736,0,1,6
1737,0,0,56
1738,0,0,55
1739,0,0,54
1740,0,0,17
1741,0,0,18
1742,0,0,19
1743,0,0,31
1744,0,0,17
1745,0,0,38
1746,0,0,57
1747,0,0,35
1748,0,0,25
1749,0,0,26
1750,0,0,27
1751,0,0,28
1752,0,0,29
1753,0,0,50
1754,0,0,53
1755,0,0,17
1756,0,0,71
1757,0,0,66
1758,0,0,12
1759,0,0,68
1760,0,0,48
1761,0,0,27
1762,0,0,28
1763,0,0,18
1764,0,0,32
1765,0,0,89
1766,0,0,76
1767,0,0,33
1768,0,0,34
1769,0,0,35
1770,0,0,36
1771,0,0,37
1772,0,0,38
1773,0,0,56
1774,0,0,79
1775,0,0,73
1776,0,0,42
1777,0,0,43
1778,0,0,44
1779,0,0,45
1780,0,0,46
1781,0,0,47
1782,0,0,48
1791,0,0,50
1792,0,0,9
1793,0,0,10
1794,0,0,34
1795,0,0,35
1796,0,0,36
1797,0,0,39
1798,0,0,47
1799,0,0,11
1800,0,0,12
1803,0,0,24
1804,0,1,18
1805,0,1,19
1806,0,1,20
1807,0,1,21
1808,0,0,23
1809,0,0,24
1810,0,1,0
1811,0,0,26
1812,0,0,45
1813,0,0,46
1814,0,1,22
1835,0,0,54
1836,0,0,98
1837,0,0,99
1838,0,0,61
1839,0,0,33
1842,0,0,46
1843,0,0,45
1844,0,0,44
1845,0,0,43
1846,0,0,42
1847,0,0,41
1848,0,0,40
1849,0,0,39
1850,0,0,38
1851,0,0,37
1852,0,0,36
1853,0,0,35
1854,0,0,32
1855,0,0,33
1856,0,0,31
