id,codPermiso,codOpe,tipotabla,valor
7143,71,1,2,True
7157,72,1,2,True
7171,73,1,2,True
7185,74,1,2,True
7199,75,1,2,True
7213,76,1,2,True
7227,77,1,2,True
7241,78,1,2,True
7255,79,1,2,True
7269,80,1,2,True
7283,81,1,2,True
7297,82,1,2,True
7311,83,1,2,True
7325,84,1,2,True
7339,85,1,2,True
7353,86,1,2,True
7367,87,1,2,True
7381,88,1,2,True
6164,1,1,3,True
6178,2,1,3,True
6192,3,1,3,True
6206,4,1,3,True
6220,5,1,3,True
6234,6,1,3,True
6248,7,1,3,True
6262,8,1,3,True
6276,9,1,3,True
6290,10,1,3,True
6304,11,1,3,True
6318,12,1,3,True
6332,13,1,3,True
6346,14,1,3,True
6360,15,1,3,True
6374,16,1,3,True
6388,17,1,3,True
6402,18,1,3,True
6416,19,1,3,True
6430,20,1,3,True
6444,21,1,3,True
6458,22,1,3,True
6472,23,1,3,True
6486,24,1,3,True
6500,25,1,3,True
6514,26,1,3,True
6528,27,1,3,True
6542,28,1,3,True
6556,29,1,3,True
6570,30,1,3,True
6584,31,1,3,True
6598,32,1,3,True
6612,33,1,3,True
6626,34,1,3,True
6640,35,1,3,True
6654,36,1,3,True
6668,37,1,3,True
6682,38,1,3,True
6696,39,1,3,True
6710,40,1,3,True
6724,41,1,3,True
6738,42,1,3,True
6752,43,1,3,True
6766,44,1,3,True
6780,45,1,3,True
6794,46,1,3,True
6808,47,1,3,True
6822,48,1,3,True
6836,49,1,3,True
6850,50,1,3,True
6864,51,1,3,True
6878,52,1,3,True
6892,53,1,3,True
6906,54,1,3,True
6920,55,1,3,True
6934,56,1,3,True
6948,57,1,3,True
6962,58,1,3,True
6976,59,1,3,True
6990,60,1,3,True
7004,61,1,3,True
7018,62,1,3,True
7032,63,1,3,True
7046,64,1,3,True
7060,65,1,3,True
7074,66,1,3,True
7088,67,1,3,True
7102,68,1,3,True
7116,69,1,3,True
7130,70,1,3,True
7144,71,1,3,True
7158,72,1,3,True
7172,73,1,3,True
7186,74,1,3,True
7200,75,1,3,True
7214,76,1,3,True
7228,77,1,3,True
7242,78,1,3,True
7256,79,1,3,True
7270,80,1,3,True
7284,81,1,3,True
7298,82,1,3,True
7312,83,1,3,True
7326,84,1,3,True
7340,85,1,3,True
7354,86,1,3,True
7368,87,1,3,True
7382,88,1,3,True
6165,1,1,4,True
6179,2,1,4,True
6193,3,1,4,True
6207,4,1,4,True
6221,5,1,4,True
6235,6,1,4,True
6249,7,1,4,True
6263,8,1,4,True
6277,9,1,4,True
6291,10,1,4,True
6305,11,1,4,True
6319,12,1,4,True
6333,13,1,4,True
6347,14,1,4,True
6361,15,1,4,True
6375,16,1,4,True
6389,17,1,4,True
