idcolumna,idgrupo,nombre,texto,campo,tipo,orden,imagenes,usarEtiquetasIni,tabla,desglosable,actualizable,campoVisualizacion,anchoPropio,tablaorigen,parteSql,parteSqlIdgestorbasedatos,parteSqlResto,verColumnaDefecto,visibleDashboard,disponible
3714,78,sdomiciliocli,Dirección,sdomiciliocli,0,5,,0,,0,0,,100,,,,,1,False,True
3715,78,spoblacioncli,Población,spoblacioncli,0,7,,0,,0,0,,,,,,,1,True,False
3716,78,sprovinciacli,Provincia,sprovinciacli,0,8,,0,Provincia,0,0,,,,,,,1,True,False
3717,78,Código Postal,Código Postal,scodpostalcli,0,6,,0,,0,0,,100,,,,,1,False,True
3718,78,snombrepais,País,snombrepais,0,18,,0,,0,0,,,,,,,0,True,False
3719,78,estadocli,Estado,estadocli,0,18,,0,,0,0,,100,,,,,0,True,False
3720,78,fechaalta,Fecha Alta,fechaalta,6,10,,0,,0,0,,100,,,,,1,False,True
3721,78,fechaBaja,Fecha Baja,fechabaja,6,18,,0,,0,0,,100,,,,,0,False,True
3722,78,tipofichero,Tipo Contacto,tipofichero,0,9,,1,,0,0,,100,,,,,1,True,False
3723,78,cuentabanco,Cuenta Banco,cuentabanco,0,20,,0,,0,0,bVerContabilidad[AND]bverContPGC,100,,,,,0,False,True
3724,78,susuario,cliUsuario,susuario,0,18,,1,,0,0,,,,,,,0,True,False
3725,78,dormidohistorial,Dormido Historial,dormidohistorial,4,22,0:No|1:Sí,0,,0,0,,100,,,,,0,False,True
3726,78,dormidoeconomico,Dormido Económico,dormidoeconomico,4,23,0:No|1:Sí,0,,0,0,bVerFacturacion[AND]bcuenotros[AND]!bOcultarIndicadoresEconom,120,,,,,0,False,True
3727,78,totalcobrado,Total Cobrado,totalcobrado,8,24,,0,,0,0,bcuecontotros[AND]!bOcultarIndicadoresEconom,100,,,,,0,False,True
3728,78,numactuaciones,Actu. Realizadas,numactuaciones,0,29,,0,,0,0,,150,,,,,0,False,True
3729,78,tiempoact,Tiempo Actu. Realizadas,tiempoact,5,15,,0,,0,0,,150,,,,,1,False,True
3730,78,totalcosteact,Total Coste,totalcosteact,8,31,,0,,0,0,bcuecontotros[AND]!bOcultarIndicadoresEconom,100,,,,,0,False,True
3731,78,diassinact,Días sin Actuaciones,diassinact,16,14,,0,,0,0,,120,,,,,1,False,True
3732,78,diasultimocobro,Días desde Último Cobro,diasultimocobro,16,33,,0,,0,0,bVerFacturacion[AND]bcuenotros[AND]!bOcultarIndicadoresEconom,150,,,,,0,False,True
3733,78,diasmorosidad,Días de Morosidad,diasmorosidad,16,34,,0,,0,0,bVerFacturacion[AND]bcuenotros[AND]!bOcultarIndicadoresEconom,110,,,,,0,False,True
3734,78,oportunidadesabiertas,OporAbiertas,oportunidadesabiertas,16,36,,1,,0,0,bveroportunidades,120,,,,,0,False,True
3735,78,diasactivo,Días Activo,diasactivo,0,11,,0,,0,0,,100,,,,,1,False,True
3736,78,numexpedientes,ExpTitulo,numexpedientes,0,38,,1,,0,0,bVerExpedientes,100,,CR.numexpedientes,,,0,False,True
3737,78,numclientes,Clientes Asociados,numclientes,0,39,,0,,0,0,,150,,,,,0,False,True
3738,78,satisfaccion,Satisfacción,satisfaccion,9,40,,0,,0,0,desactivado,100,,,,,0,False,True
3739,78,ultimavaloracion,Última Valoración,ultimavaloracion,0,41,,0,,0,0,,100,,,,,0,False,True
3740,78,participacionencuestas,Participación Encuestas,participacionencuestas,0,42,,0,,0,0,desactivado,100,,,,,0,False,True
3741,78,reclamacion,Reclamaciones,reclamacion,0,43,,0,,0,0,desactivado,100,,,,,0,False,True
3742,78,incidencias,Incidencias,incidencias,0,44,,0,,0,0,desactivado,100,,,,,0,False,True
3743,78,comunicaciones,Comunicaciones,comunicaciones,0,45,,0,,0,0,,100,,,,,0,False,True
3744,78,informespendientes,Informes Pendientes,informespendientes,0,46,,0,,0,0,desactivado,100,,,,,0,False,True
3745,78,pasaporte,etiotrodatospasaporte|3,pasaporte,0,25,,4,,0,0,tipoficherocli:3:bverotrosdatospasaporte,100,,,,,0,False,True
3746,78,nie,etiotrodatosnie|3,nie,0,26,,4,,0,0,tipoficherocli:3:bverotrosdatosnie,100,,,,,0,False,True
3747,78,tarjetaresidencia,etiotrodatostarjetaresidencia|3,tarjetaresidencia,0,27,,4,,0,0,tipoficherocli:3:bverotrosdatostarjetaresidencia,100,,,,,0,False,True
3748,78,campo21,etiotrodatoscampo21|3,campo21,0,28,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo21,100,,,,,0,False,True
3749,78,campo22,etiotrodatoscampo22|3,campo22,0,29,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo22,100,,,,,0,False,True
3750,78,campo23,etiotrodatoscampo23|3,campo23,0,30,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo23,100,,,,,0,False,True
3751,78,campo24,etiotrodatoscampo24|3,campo24,0,31,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo24,100,,,,,0,False,True
3752,78,origen,etiotrodatosorigen|3,origen,0,32,,4,,0,0,tipoficherocli:3:bverotrosdatosorigen,100,,,,,0,False,True
