id,dato,llave,valor,tabla
1,,estado,Abierta,oporcli
2,,estado,Cerrada,oporcli
3,,estado,Pospuesta,oporcli
4,,estado,Perdida,oporcli
5,,tipo,DESCUENTO,cuentas
6,,tipo,GASTO,cuentas
7,,tipo,HONORARIO,cuentas
8,,tipo,SUPLIDO,cuentas
868,8,256,1|2,FiltroConfig
869,8,257,1|0,FiltroConfig
870,8,258,1|1,FiltroConfig
871,8,259,1|2,FiltroConfig
872,8,260,1|3,FiltroConfig
873,8,261,1|4,FiltroConfig
874,8,262,1|5,FiltroConfig
875,8,263,1|6,FiltroConfig
876,8,264,1|7,FiltroConfig
877,8,265,1|8,FiltroConfig
878,8,266,1|9,FiltroConfig
879,8,267,1|10,FiltroConfig
886,,,Hombre,sexo
887,,,Mujer,sexo
893,17,34,2,ConsultaGeneral
894,17,35,3,ConsultaGeneral
895,17,674,1|0,FiltroConfig
896,17,675,1|1,FiltroConfig
897,17,676,1|2,FiltroConfig
898,17,677,1|0,FiltroConfig
899,17,678,1|4,FiltroConfig
900,17,679,1|7,FiltroConfig
901,17,680,1|2,FiltroConfig
902,17,681,0|8,FiltroConfig
903,17,682,0|7,FiltroConfig
904,17,683,1|4,FiltroConfig
905,17,684,1|3,FiltroConfig
906,17,685,1|1,FiltroConfig
907,17,743,1|12,FiltroConfig
908,17,744,1|13,FiltroConfig
909,17,745,1|6,FiltroConfig
910,17,746,1|5,FiltroConfig
911,17,747,0|9,FiltroConfig
912,17,748,0|10,FiltroConfig
913,17,749,0|11,FiltroConfig
914,17,750,1|8,FiltroConfig
915,17,751,1|3,FiltroConfig
916,17,752,1|1,FiltroConfig
917,17,753,1|0,FiltroConfig
918,17,1249,1|0|129,SystemDefaultColumnasConfig
919,17,1250,0|20|100,SystemDefaultColumnasConfig
920,17,1251,0|21|100,SystemDefaultColumnasConfig
921,17,1256,0|19|100,SystemDefaultColumnasConfig
922,17,1248,1|1|241,SystemDefaultColumnasConfig
923,17,1262,1|4|100,SystemDefaultColumnasConfig
924,17,1255,1|8|100,SystemDefaultColumnasConfig
925,17,1257,0|18|100,SystemDefaultColumnasConfig
926,17,1258,1|9|100,SystemDefaultColumnasConfig
927,17,1263,1|10|100,SystemDefaultColumnasConfig
928,17,1264,1|11|100,SystemDefaultColumnasConfig
929,17,1252,1|2|149,SystemDefaultColumnasConfig
930,17,1253,1|3|100,SystemDefaultColumnasConfig
931,17,1254,0|17|100,SystemDefaultColumnasConfig
932,17,1265,1|7|100,SystemDefaultColumnasConfig
933,17,1259,0|16|100,SystemDefaultColumnasConfig
934,17,1266,0|15|100,SystemDefaultColumnasConfig
935,17,1267,0|14|100,SystemDefaultColumnasConfig
936,17,1260,0|13|100,SystemDefaultColumnasConfig
937,17,1261,0|12|100,SystemDefaultColumnasConfig
938,17,1510,1|5|50,SystemDefaultColumnasConfig
939,17,1511,1|6|100,SystemDefaultColumnasConfig
945,,19,13/04/2021 8:50:39,UltimaActualizacion
946,20,4169,0|1|100,SystemDefaultColumnasConfig
1034,35,,18.01.3.0,CONSULTATODOSDEFECTO
1175,39,4037,0|1|100,SystemDefaultColumnasConfig
1176,39,7001,0|231|100,SystemDefaultColumnasConfig
1179,40|0,PanelIndicadores,1,config
1180,40,73,0,PeriodoFiltroFecha
1181,40,76,0,PeriodoFiltroFecha
1182,40,87,0,PeriodoFiltroFecha
1183,40,88,0,PeriodoFiltroFecha
1184,40,89,10,PeriodoFiltroFecha
1185,40,90,0,PeriodoFiltroFecha
1186,40,91,0,PeriodoFiltroFecha
1187,40,73,dfechaact,CampoFiltroFecha
1188,40,76,dfechaact,CampoFiltroFecha
1189,40,87,dfechaact,CampoFiltroFecha
1190,40,88,dfechaact,CampoFiltroFecha
1191,40,89,dfecha,CampoFiltroFecha
1192,40,90,dfecha,CampoFiltroFecha
1193,40,91,dfechaact,CampoFiltroFecha
1194,40,92,dfechaact,CampoFiltroFecha
1195,40,92,0,PeriodoFiltroFecha
1196,40,93,dfecha,CampoFiltroFecha
1197,40,93,10,PeriodoFiltroFecha
1198,40,96,dfechaact,CampoFiltroFecha
1199,40,96,0,PeriodoFiltroFecha
1200,40,97,dfechaact,CampoFiltroFecha
1201,40,97,0,PeriodoFiltroFecha
1202,40,98,7,PeriodoFiltroFecha
1203,40,98,dfechaact,CampoFiltroFecha
1204,40,99,0,PeriodoFiltroFecha
1205,40,99,dfechaact,CampoFiltroFecha
1206,40,100,0,PeriodoFiltroFecha
1207,40,100,dfechaact,CampoFiltroFecha
1208,40,101,0,PeriodoFiltroFecha
1209,40,101,dfechaact,CampoFiltroFecha
1210,40,102,0,PeriodoFiltroFecha
1211,40,102,dfechaact,CampoFiltroFecha
2378,41|0,TabOrder,1,config
2379,41|0,OpcionTipoVista,1,config
2381,0,1690,1|26,FiltroConfigPersonal
2382,0,1691,1|25,FiltroConfigPersonal
2383,0,1692,1|11,FiltroConfigPersonal
2384,0,1803,1|6,FiltroConfigPersonal
2385,0,2455,0|33,FiltroConfigPersonal
2386,0,294,1|0,FiltroConfigPersonal
2387,0,295,0|6,FiltroConfigPersonal
2388,0,296,1|10,FiltroConfigPersonal
2389,0,297,1|8,FiltroConfigPersonal
2390,0,298,1|2,FiltroConfigPersonal
2391,0,299,0|10,FiltroConfigPersonal
2392,0,300,0|11,FiltroConfigPersonal
2393,0,301,0|12,FiltroConfigPersonal
2394,0,302,0|13,FiltroConfigPersonal
2395,0,303,0|14,FiltroConfigPersonal
2396,0,304,1|7,FiltroConfigPersonal
2397,0,305,0|16,FiltroConfigPersonal
2398,0,306,0|17,FiltroConfigPersonal
2399,0,502,0|18,FiltroConfigPersonal
2400,0,505,0|19,FiltroConfigPersonal
2401,0,506,0|20,FiltroConfigPersonal
2402,0,573,1|9,FiltroConfigPersonal
2403,0,603,1|3,FiltroConfigPersonal
2404,0,604,0|23,FiltroConfigPersonal
2405,0,688,1|4,FiltroConfigPersonal
2406,0,689,1|5,FiltroConfigPersonal
2407,0,690,1|1,FiltroConfigPersonal
2408,0,837,1|33,FiltroConfigPersonal
2409,1|0,OpcionTipoVista,0,config
2410,6|0,OpcionTipoVista,1,config
2549,43|0,TabOrder,1,config
2550,43|0,OpcionTipoVista,1,config
2554,0,2324,0|5,FiltroConfigPersonal
2555,0,2325,0|16,FiltroConfigPersonal
2556,0,2326,0|27,FiltroConfigPersonal
2557,0,2327,0|29,FiltroConfigPersonal
2558,0,2328,0|30,FiltroConfigPersonal
2559,0,2329,0|31,FiltroConfigPersonal
2560,0,2330,0|32,FiltroConfigPersonal
2561,0,2331,0|33,FiltroConfigPersonal
