NumCta,Descripcion,Descripcion2,tipoPGC
520,Deudas a corto plazo con entidades de crédito,,
5200000000,Préstamos a corto plazo de entidades de crédito,,
5201000000,Deudas a corto plazo por crédito dispuesto,,
5208000000,Deudas por efectos descontados,,
5209000000,"Deudas por operaciones de factoring""""","Deudas por operaciones de ""factoring""",0
521,Deudas a corto plazo,,
5210000000,Deudas a corto plazo,,2
522,"Deudas a corto plazo transformables en subvenciones, donaciones y legados",,
5220000000,"Deudas a corto plazo transformables en subvenciones, donaciones y legados",,2
523,Proveedores de inmovilizado a corto plazo,,
5230000000,Proveedores de inmovilizado a corto plazo,,2
524,Acreedores por arrendamiento financiero a corto plazo,,
5240000000,Acreedores por arrendamiento financiero a corto plazo,,2
525,Efectos a pagar a corto plazo,,
5250000000,Efectos a pagar a corto plazo,,2
526,Dividendo activo a pagar,,1
527,Intereses a corto plazo de deudas con entidades de crédito,,
5270000000,Intereses a corto plazo de deudas con entidades de cr?dito,,2
528,Intereses a corto plazo de deudas,,
5280000000,Intereses a corto plazo de deudas,,2
529,Provisiones a corto plazo,,
5290000000,Provisión a corto plazo por retribuciones al personal,,1
5291000000,Provisión a corto plazo para impuestos,,
5292000000,Provisión a corto plazo para otras responsabilidades,,
5293000000,"Provisión a corto plazo por desmantelamiento, retiro o rehabilitación del inmovilizado",,
5295000000,Provisión a corto plazo para actuaciones medioambientales,,
5296000000,Provisión a corto plazo para reestructuraciones,,1
5297000000,Provisión a corto plazo por transacciones con pagos basados en instrumentos de patrimonio,,1
530,Participaciones a corto plazo en  partes vinculadas,,
5303000000,"Participaciones a corto plazo, en empresas del grupo",Participaciones a corto plazo en entidades del grupo,0
5304000000,"Participaciones a corto plazo, en empresas asociadas",Participaciones a corto plazo en entidades asociadas,0
5305000000,"Participaciones a corto plazo, en otras partes vinculadas",Participaciones a corto plazo en otras partes vinculadas,0
531,Valores representativos de deuda a corto plazo de partes vinculadas,,
5313000000,Valores representativos de deuda a corto plazo de empresas del grupo,Valores representativos de deuda a corto plazo de entidades del grupo,0
5314000000,Valores representativos de deuda a corto plazo de empresas asociadas,Valores representativos de deuda a corto plazo de entidades asociadas,0
5315000000,Valores representativos de deuda a corto plazo de otras partes vinculadas,,
532,Créditos a corto plazo a partes vinculadas,,
5323000000,Créditos a corto plazo a empresas del grupo,Cr?ditos a corto plazo a entidades del grupo,0
5324000000,Créditos a corto plazo a empresas asociadas,Cr?ditos a corto plazo a entidades asociadas,0
5325000000,Créditos a corto plazo a otras partes vinculadas,,
533,Intereses a corto plazo de valores representativos de deuda de partes vinculadas,,
5333000000,Intereses  a corto plazo de valores representativos de deuda de empresas del grupo,Intereses a corto plazo de valores representativos de deuda de entidades del grupo,0
5334000000,Intereses  a corto plazo de valores representativos de deuda de empresas asociadas,Intereses a corto plazo de valores representativos de deuda de entidades asociadas,0
5335000000,Intereses  a corto plazo de valores representativos de deuda de otras partes vinculadas,,
534,Intereses  a corto plazo de créditos a partes vinculadas,,
5343000000,Intereses  a corto plazo de créditos a empresas del grupo,Intereses a corto plazo de cr?ditos a entidades del grupo,0
5344000000,Intereses  a corto plazo de créditos a empresas asociadas,Intereses a corto plazo de cr?ditos a entidades asociadas,0
5345000000,Intereses  a corto plazo de créditos a otras partes vinculadas,,
535,Dividendo a cobrar de inversiones financieras en partes vinculadas,,
5353000000,Dividendo a cobrar de empresas de grupo,Dividendo a cobrar de entidades de grupo,0
5354000000,Dividendo a cobrar de empresas asociadas,Dividendo a cobrar de entidades asociadas,0
5355000000,Dividendo a cobrar de otras partes vinculadas,,
539,Desembolsos pendientes sobre participaciones a corto plazo en partes vinculadas,Desembolsos pendientes sobre participaciones  a corto plazo en partes vinculadas,0
5393000000,Desembolsos pendientes sobre participaciones a corto plazo en empresas del grupo,Desembolsos pendientes sobre participaciones a corto plazo en entidades del grupo,0
5394000000,Desembolsos pendientes sobre participaciones a corto plazo en empresas asociadas,Desembolsos pendientes sobre participaciones a corto plazo en entidades asociadas,0
5395000000,Desembolsos pendientes sobre participaciones a corto plazo en otras partes vinculadas,Desembolsos pendientes sobre participaciones  a corto plazo en otras partes vinculadas,0
540,Inversiones financieras a corto plazo en instrumentos de patrimonio,,
5400000000,Inversiones financieras a corto plazo en instrumentos de patrimonio,,2
541,Valores representativos de deuda a corto plazo,,
5410000000,Valores representativos de deuda a corto plazo,,2
542,Créditos a corto plazo,,
5420000000,Cr?ditos a corto plazo,,2
543,Créditos a corto plazo por enajenación de inmovilizado,,
5430000000,Cr?ditos a corto plazo por enajenaci?n de inmovilizado,,2
544,Créditos a corto plazo al personal,,
