id,codope,aplicacion,equipo,tipo,fecha,versionSO
133,1,AppAngular,MNCLOUDIIS02,0,2024-08-13 12:01:38.693000,
134,1,AppAngular,MNCLOUDIIS02,0,2024-08-13 20:06:03.783000,
135,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-14 11:58:30.260000,
136,1,AppAngular,MNCLOUDIIS02,0,2024-08-14 14:54:19.797000,
137,1,AppAngular,MNCLOUDIIS02,0,2024-08-16 19:02:27.120000,
138,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-19 07:56:55.727000,
139,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-19 07:57:04.427000,
140,1,GestorConsultas:40,DESKTOP-D72E0H9,0,2024-08-19 11:53:35.687000,
141,1,GestorConsultas:40,DESKTOP-D72E0H9,1,2024-08-19 12:54:42.367000,
142,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-19 12:54:43.797000,
143,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-19 12:54:56.517000,
144,1,GestorConsultas:40,DESKTOP-D72E0H9,0,2024-08-19 12:54:59.657000,
145,1,AppAngular,MNCLOUDIIS02,0,2024-08-19 20:17:22.583000,
146,1,AppAngular,MNCLOUDIIS02,0,2024-08-19 20:17:48.803000,
147,1,AppAngular,MNCLOUDIIS02,0,2024-08-19 20:18:19.473000,
148,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-19 20:19:55.207000,
149,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-19 21:20:20.233000,
150,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-19 21:20:26.960000,
151,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-19 21:25:11.013000,
152,1,AppAngular,MNCLOUDIIS02,0,2024-08-20 07:23:02.370000,
153,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-20 07:58:45.767000,
154,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-20 07:58:58.033000,
155,1,AppAngular,MNCLOUDIIS02,0,2024-08-20 16:39:33.463000,
156,1,AppAngular,MNCLOUDIIS02,0,2024-08-20 20:05:01.320000,
157,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-20 20:44:07.900000,
158,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-20 20:44:25.580000,
159,1,AppAngular,MNCLOUDIIS02,0,2024-08-20 21:12:10.497000,
160,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-21 08:06:29.700000,
161,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-21 08:06:36.907000,
162,1,GestorConsultas:39,DESKTOP-D72E0H9,0,2024-08-21 09:26:05.353000,
163,1,GestorConsultas:39,DESKTOP-D72E0H9,1,2024-08-21 09:26:30.170000,
164,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-21 17:59:44.633000,
165,1,AppAngular,MNCLOUDIIS02,0,2024-08-21 18:28:54.967000,
166,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-21 19:06:06.157000,
167,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-21 21:03:52.487000,
168,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-21 21:04:04.673000,
169,1,AppAngular,MNCLOUDIIS02,0,2024-08-21 21:12:04.440000,
170,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-22 08:34:42.507000,
171,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-22 08:34:50.777000,
172,1,AppAngular,MNCLOUDIIS02,0,2024-08-22 13:54:39.930000,
173,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 11:02:31.807000,
174,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 11:04:59.447000,
175,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 11:13:14.947000,
176,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 11:14:40.757000,
177,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 11:57:42.943000,
178,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 12:15:29.933000,
