id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
10989,129,31,18,22,,,
10990,129,1,1,23,,,
11338,116,1,1,1,,,
11339,116,1,2,2,,,
11340,116,1,3,3,,,
11341,116,1,4,4,,,
11342,116,1,5,5,,,
11343,116,1,6,6,,,
11344,116,1,7,7,,,
11345,116,1,8,8,,,
11346,116,1,4,9,,,
11347,116,1,274,10,,,
11348,116,24,101,11,,,
11349,116,24,102,12,,,
11350,116,24,286,13,,,
11351,116,24,71,14,,,
11352,116,24,100,15,,,
11353,116,24,103,16,,,
11354,116,61,287,17,,,
11355,116,62,288,18,,,
11356,116,25,104,19,,,
11357,116,4,34,20,1,,
11358,116,4,77,21,1,,
11359,116,65,270,22,,2,
11360,116,65,271,23,,2,
11361,116,65,272,24,,2,
11362,116,65,273,25,,2,
11363,116,24,284,26,,,
11364,116,1,1,27,,,
11365,96,1,1,1,,,
11366,96,1,2,2,,,
11367,96,1,3,3,,,
11368,96,1,4,4,,,
11369,96,1,5,5,,,
11370,96,1,6,6,,,
11371,96,1,7,7,,,
11372,96,1,8,8,,,
11373,96,1,4,9,,,
11374,96,1,274,10,,,
11375,96,2,10,11,,,
11376,96,2,11,12,,,
11377,96,2,12,13,,,
11378,96,2,13,14,,,
11379,96,2,14,15,,,
11380,96,2,15,16,,,
11381,96,2,19,17,,,
11382,96,2,20,18,,,
11383,96,2,23,19,,,
11384,96,2,22,20,,,
11385,96,2,17,21,,,
11386,96,2,18,22,,,
11387,96,1,1,23,,,
11554,132,1,1,1,,,
11555,132,1,2,2,,,
11556,132,1,3,3,,,
11557,132,1,4,4,,,
11558,132,1,5,5,,,
11559,132,1,6,6,,,
11560,132,1,7,7,,,
11561,132,1,8,8,,,
11562,132,1,4,9,,,
11563,132,1,274,10,,,
11564,132,4,34,11,,,
11565,132,4,72,12,,,
11566,132,4,73,13,,,
11567,132,4,74,14,,,
11568,132,4,75,15,,,
11569,132,4,76,16,,,
11570,132,4,77,17,,,
11571,132,4,20,18,,,
11572,132,4,79,19,,,
11573,132,4,78,20,,,
11574,132,4,17,21,,,
11575,132,4,18,22,,,
11576,132,4,80,23,,,
11577,132,37,91,24,,,
11578,132,4,81,25,,,
11579,132,21,91,26,1,,
11580,132,21,26,27,1,,
11581,132,21,93,28,1,,
11582,132,1,1,29,,,
11601,133,1,1,1,,,
11602,133,1,2,2,,,
11603,133,1,3,3,,,
11604,133,1,4,4,,,
11605,133,1,5,5,,,
11606,133,1,6,6,,,
11607,133,1,7,7,,,
11608,133,1,8,8,,,
11609,133,1,9,9,,,
11610,133,1,4,10,,,
11611,133,4,80,11,,,
11612,133,4,34,12,,,
11613,133,4,77,13,,,
11614,133,37,91,14,,,
11615,133,4,81,15,,,
11616,133,4,72,16,,,
11617,133,21,91,17,1,,
11618,133,21,26,18,1,,
11648,134,1,1,1,,,
11649,134,1,2,2,,,
11650,134,1,3,3,,,
11651,134,1,4,4,,,
11652,134,1,5,5,,,
11653,134,1,6,6,,,
11654,134,1,7,7,,,
11655,134,1,8,8,,,
11656,134,1,4,9,,,
11657,134,1,274,10,,,
11658,134,4,34,11,,,
11659,134,4,72,12,,,
11660,134,4,73,13,,,
11661,134,4,74,14,,,
11662,134,4,75,15,,,
11663,134,4,76,16,,,
11664,134,4,77,17,,,
11665,134,4,20,18,,,
11666,134,4,79,19,,,
11667,134,4,78,20,,,
11668,134,4,17,21,,,
11669,134,4,18,22,,,
11670,134,4,80,23,,,
11671,134,37,91,24,,,
11672,134,4,81,25,,,
11673,134,21,91,26,1,,
11674,134,21,26,27,1,,
11675,134,21,93,28,1,,
11676,134,1,1,29,,,
11706,135,1,1,1,,,
11707,135,1,2,2,,,
11708,135,1,3,3,,,
11709,135,1,4,4,,,
11710,135,1,5,5,,,
11711,135,1,6,6,,,
11712,135,1,7,7,,,
11713,135,1,8,8,,,
11714,135,1,4,9,,,
11715,135,1,274,10,,,
11716,135,4,34,11,,,
11717,135,4,72,12,,,
11718,135,4,73,13,,,
11719,135,4,74,14,,,
11720,135,4,75,15,,,
11721,135,4,76,16,,,
11722,135,4,77,17,,,
11723,135,4,20,18,,,
11724,135,4,79,19,,,
11725,135,4,78,20,,,
11726,135,4,17,21,,,
11727,135,4,18,22,,,
11728,135,4,80,23,,,
11729,135,37,91,24,,,
11730,135,4,81,25,,,
11731,135,21,91,26,1,,
11732,135,21,26,27,1,,
11733,135,21,93,28,1,,
11734,135,4,289,29,,,
11761,136,1,1,1,,,
11762,136,1,2,2,,,
11763,136,1,3,3,,,
11764,136,1,4,4,,,
11765,136,1,5,5,,,
11766,136,1,6,6,,,
11767,136,1,7,7,,,
11768,136,1,8,8,,,
11769,136,1,4,9,,,
11770,136,1,274,10,,,
11771,136,4,34,11,,,
11772,136,4,72,12,,,
11773,136,4,73,13,,,
11774,136,4,74,14,,,
11775,136,4,75,15,,,
11776,136,4,76,16,,,
11777,136,4,77,17,,,
11778,136,4,20,18,,,
11779,136,4,79,19,,,
11780,136,4,78,20,,,
11781,136,4,17,21,,,
11782,136,4,18,22,,,
11783,136,36,40,23,,2,
11784,136,36,246,24,,2,
11785,136,36,71,25,,2,
11786,136,1,1,26,,,
11833,137,1,1,1,,,
11834,137,1,2,2,,,
11835,137,1,3,3,,,
11836,137,1,4,4,,,
11837,137,1,5,5,,,
11838,137,1,6,6,,,
11839,137,1,7,7,,,
11840,137,1,8,8,,,
11841,137,1,4,9,,,
11842,137,1,274,10,,,
11843,137,4,34,11,,,
11844,137,4,72,12,,,
11845,137,4,73,13,,,
11846,137,4,74,14,,,
11847,137,4,75,15,,,
11848,137,4,76,16,,,
11849,137,4,77,17,,,
11850,137,4,20,18,,,
11851,137,4,79,19,,,
11852,137,4,78,20,,,
11853,137,4,17,21,,,
11854,137,4,18,22,,,
11855,137,59,270,23,,2,
11856,137,59,271,24,,2,
11857,137,59,272,25,,2,
11858,137,59,273,26,,2,
11859,137,4,284,27,,,
11860,137,1,1,28,,,
11993,140,1,1,1,,,
11994,140,1,2,2,,,
11995,140,1,3,3,,,
11996,140,1,4,4,,,
11997,140,1,5,5,,,
11998,140,1,6,6,,,
11999,140,1,7,7,,,
12000,140,1,8,8,,,
12001,140,1,4,9,,,
12002,140,1,274,10,,,
12003,140,4,34,11,,,
12005,140,4,73,13,,,
12006,140,4,74,14,,,
12007,140,4,75,15,,,
12008,140,4,72,12,,,
12009,140,4,77,17,,,
12010,140,4,20,18,,,
12011,140,4,79,19,,,
12012,140,4,78,20,,,
12013,140,4,17,21,,,
12014,140,4,18,22,,,
12015,140,4,80,23,,,
12016,140,37,91,24,,,
12017,140,4,81,25,,,
12018,140,39,40,26,,3,
12019,140,39,249,27,,3,
12020,140,39,250,28,,3,
12021,140,39,251,29,,3,
